#chromosome	nc_accession	gene	gene_id	ccds_id	ccds_status	cds_strand	cds_from	cds_to	cds_locations	match_type
1	NC_000001.8	LINC00115	79854	CCDS1.1	Withdrawn	-	801942	802433	[801942-802433]	Identical
1	NC_000001.10	SAMD11	148398	CCDS2.2	Public	+	861321	879532	[861321-861392, 865534-865715, 866418-866468, 871151-871275, 874419-874508, 874654-874839, 876523-876685, 877515-877630, 877789-877867, 877938-878437, 878632-878756, 879077-879187, 879287-879532]	Identical
1	NC_000001.10	NOC2L	26155	CCDS3.1	Public	-	880073	894619	[880073-880179, 880436-880525, 880897-881032, 881552-881665, 881781-881924, 883510-883611, 883869-883982, 886506-886617, 887379-887518, 887791-887979, 888554-888667, 889161-889271, 889383-889461, 891302-891392, 891474-891594, 892273-892404, 892478-892652, 894308-894460, 894594-894619]	Identical
1	NC_000001.10	PLEKHN1	84069	CCDS4.1	Public	+	901911	909954	[901911-901993, 902083-902182, 905656-905802, 905900-905980, 906065-906137, 906258-906385, 906492-906587, 906703-906783, 907454-907529, 907667-907803, 908240-908389, 908565-908705, 908879-909019, 909212-909430, 909695-909743, 909821-909954]	Identical
1	NC_000001.10	HES4	57801	CCDS5.1	Public	-	934438	935352	[934438-934811, 934905-934992, 935071-935166, 935245-935352]	Identical
1	NC_000001.10	ISG15	9636	CCDS6.1	Public	+	948953	949857	[948953-948955, 949363-949857]	Identical
1	NC_000001.10	C1orf159	54991	CCDS7.2	Public	-	1018272	1026922	[1018272-1018366, 1019732-1019762, 1019860-1019885, 1021257-1021391, 1022518-1022583, 1022881-1022976, 1025732-1025807, 1026851-1026922]	Identical
1	NC_000001.10	TTLL10	254173	CCDS8.1	Public	+	1115433	1120521	[1115433-1115719, 1115862-1115980, 1116110-1116239, 1117120-1117194, 1117740-1117825, 1118255-1118426, 1119299-1119470, 1120348-1120521]	Identical
1	NC_000001.10	TNFRSF18	8784	CCDS9.1	Public	-	1138970	1141950	[1138970-1139339, 1139778-1139865, 1140749-1140871, 1141764-1141950]	Identical
1	NC_000001.10	TNFRSF18	8784	CCDS10.1	Public	-	1139223	1141950	[1139223-1139347, 1139413-1139615, 1139778-1139865, 1140749-1140871, 1141764-1141950]	Identical
1	NC_000001.10	TNFRSF4	7293	CCDS11.1	Public	-	1146934	1149506	[1146934-1147004, 1147083-1147211, 1147321-1147517, 1148017-1148083, 1148371-1148472, 1149042-1149164, 1149362-1149506]	Identical
1	NC_000001.10	SDF4	51150	CCDS12.1	Public	-	1153049	1164172	[1153049-1153183, 1153837-1154012, 1154148-1154306, 1158623-1158736, 1159211-1159347, 1163847-1164172]	Identical
1	NC_000001.10	B3GALT6	126792	CCDS13.1	Public	+	1167658	1168647	[1167658-1168647]	Identical
1	NC_000001.10	UBE2J2	118424	CCDS14.1	Public	-	1190582	1203371	[1190582-1190866, 1191424-1191504, 1192371-1192509, 1192587-1192689, 1198725-1198765, 1203241-1203371]	Identical
